Date,Open,High,Low,Close
2004-01-12,1.08,1.08,1.08,1.08
2004-01-13,1.0835,1.0835,1.0835,1.0835
2004-01-14,1.0925,1.0925,1.0925,1.0925
2004-01-15,1.082,1.082,1.082,1.082
2004-01-16,1.091,1.091,1.091,1.091
2004-01-20,1.1135,1.1135,1.1135,1.1135
2004-01-21,1.114,1.114,1.114,1.114
2004-01-22,1.1165,1.1165,1.1165,1.1165
2004-01-23,1.1215,1.1215,1.1215,1.1215
2004-01-26,1.1135,1.1135,1.1135,1.1135
2004-01-27,1.111,1.111,1.111,1.111
2004-01-28,1.1295,1.1295,1.1295,1.1295
2004-01-29,1.1205,1.1205,1.1205,1.1205
2004-01-30,1.143,1.143,1.143,1.143
2004-02-02,1.1425,1.1425,1.1425,1.1425
2004-02-03,1.1675,1.1675,1.1675,1.1675
2004-02-04,1.1735,1.1735,1.1735,1.1735
2004-02-05,1.1725,1.1725,1.1725,1.1725
2004-02-06,1.18,1.18,1.18,1.18
2004-02-09,1.185,1.185,1.185,1.185
2004-02-10,1.1775,1.1775,1.1775,1.1775
2004-02-11,1.214,1.214,1.214,1.214
2004-02-12,1.2425,1.2425,1.2425,1.2425
2004-02-13,1.2445,1.2445,1.2445,1.2445
2004-02-17,1.3,1.3,1.3,1.3
2004-02-18,1.3,1.3,1.3,1.3
2004-02-19,1.328,1.328,1.328,1.328
2004-02-20,1.3075,1.3075,1.3075,1.3075
2004-02-23,1.3125,1.3125,1.3125,1.3125
2004-02-24,1.3255,1.3255,1.3255,1.3255
2004-02-25,1.308,1.308,1.308,1.308
2004-02-26,1.348,1.348,1.348,1.348
2004-02-27,1.343,1.343,1.343,1.343
2004-03-01,1.3945,1.3945,1.3945,1.3945
2004-03-02,1.371,1.371,1.371,1.371
2004-03-03,1.301,1.301,1.301,1.301
2004-03-04,1.3175,1.3175,1.3175,1.3175
2004-03-05,1.338,1.338,1.338,1.338
2004-03-08,1.292,1.292,1.292,1.292
2004-03-09,1.27,1.27,1.27,1.27
2004-03-10,1.284,1.284,1.284,1.284
2004-03-11,1.3355,1.3355,1.3355,1.3355
2004-03-12,1.309,1.309,1.309,1.309
2004-03-15,1.347,1.347,1.347,1.347
2004-03-16,1.364,1.364,1.364,1.364
2004-03-17,1.3495,1.3495,1.3495,1.3495
2004-03-18,1.3695,1.3695,1.3695,1.3695
2004-03-19,1.379,1.379,1.379,1.379
2004-03-22,1.355,1.355,1.355,1.355
2004-03-23,1.3605,1.3605,1.3605,1.3605
2004-03-24,1.3555,1.3555,1.3555,1.3555
2004-03-25,1.3455,1.3455,1.3455,1.3455
2004-03-26,1.3525,1.3525,1.3525,1.3525
